Data,ID Produto,Descrição,Número de Lotes a Comprar,Tamanho do Lote,Total de Produtos a Comprar,Estoque Anterior,Produtos que Chegaram,Previsão de Demanda,Estoque após Atender,Custo de Compra
26/02/2024,4-60111755-P02,PARAFUSO FLANGEADO M14*40,3.0,6000,18000.0,800.0,6000.0,6342,458.0,31500.0
26/02/2024,4-60111757-P02,PARAFUSO FLANGEADO M14*50,0.0,6000,0.0,1600.0,18000.0,8425,11175.0,0.0
26/02/2024,4-60111760-P02,PARAFUSO FLANGEADO M14*60,0.0,5400,0.0,1080.0,21600.0,7804,14876.0,0.0
04/03/2024,4-60111755-P02,PARAFUSO FLANGEADO M14*40,0.0,6000,0.0,458.0,18000.0,8857,9601.0,0.0
04/03/2024,4-60111757-P02,PARAFUSO FLANGEADO M14*50,3.0,6000,18000.0,11175.0,0.0,9170,2005.0,34020.0
04/03/2024,4-60111760-P02,PARAFUSO FLANGEADO M14*60,2.0,5400,10800.0,14876.0,0.0,7577,7299.0,23868.0
11/03/2024,4-60111755-P02,PARAFUSO FLANGEADO M14*40,4.0,6000,24000.0,9601.0,0.0,5736,3865.0,42000.0
11/03/2024,4-60111757-P02,PARAFUSO FLANGEADO M14*50,0.0,6000,0.0,2005.0,12000.0,5241,8764.0,0.0
11/03/2024,4-60111760-P02,PARAFUSO FLANGEADO M14*60,3.0,5400,16200.0,7299.0,0.0,5940,1359.0,35802.0
18/03/2024,4-60111755-P02,PARAFUSO FLANGEADO M14*40,0.0,6000,0.0,3865.0,12000.0,8623,7242.0,0.0
18/03/2024,4-60111757-P02,PARAFUSO FLANGEADO M14*50,0.0,6000,0.0,8764.0,0.0,5386,3378.0,0.0
18/03/2024,4-60111760-P02,PARAFUSO FLANGEADO M14*60,0.0,5400,0.0,1359.0,16200.0,7430,10129.0,0.0
25/03/2024,4-60111755-P02,PARAFUSO FLANGEADO M14*40,0.0,6000,0.0,7242.0,0.0,6317,925.0,0.0
25/03/2024,4-60111757-P02,PARAFUSO FLANGEADO M14*50,4.0,6000,24000.0,3378.0,18000.0,6452,14926.0,45360.0
25/03/2024,4-60111760-P02,PARAFUSO FLANGEADO M14*60,2.0,5400,10800.0,10129.0,0.0,9610,519.0,23868.0
01/04/2024,4-60111755-P02,PARAFUSO FLANGEADO M14*40,2.0,6000,12000.0,925.0,18000.0,8919,10006.0,21000.0
01/04/2024,4-60111757-P02,PARAFUSO FLANGEADO M14*50,0.0,6000,0.0,14926.0,0.0,8263,6663.0,0.0
01/04/2024,4-60111760-P02,PARAFUSO FLANGEADO M14*60,0.0,5400,0.0,519.0,10800.0,9388,1931.0,0.0
08/04/2024,4-60111755-P02,PARAFUSO FLANGEADO M14*40,0.0,6000,0.0,10006.0,0.0,8407,1599.0,0.0
08/04/2024,4-60111757-P02,PARAFUSO FLANGEADO M14*50,0.0,6000,0.0,6663.0,0.0,5725,938.0,0.0
08/04/2024,4-60111760-P02,PARAFUSO FLANGEADO M14*60,3.0,5400,16200.0,1931.0,16200.0,8645,9486.0,35802.0
15/04/2024,4-60111755-P02,PARAFUSO FLANGEADO M14*40,0.0,6000,0.0,1599.0,24000.0,8198,17401.0,0.0
15/04/2024,4-60111757-P02,PARAFUSO FLANGEADO M14*50,3.0,6000,18000.0,938.0,24000.0,8361,16577.0,34020.0
15/04/2024,4-60111760-P02,PARAFUSO FLANGEADO M14*60,-0.0,5400,-0.0,9486.0,0.0,7371,2115.0,-0.0
22/04/2024,4-60111755-P02,PARAFUSO FLANGEADO M14*40,0.0,6000,0.0,17401.0,0.0,7755,9646.0,0.0
22/04/2024,4-60111757-P02,PARAFUSO FLANGEADO M14*50,-0.0,6000,-0.0,16577.0,0.0,8597,7980.0,-0.0
22/04/2024,4-60111760-P02,PARAFUSO FLANGEADO M14*60,0.0,5400,0.0,2115.0,10800.0,5257,7658.0,0.0
29/04/2024,4-60111755-P02,PARAFUSO FLANGEADO M14*40,0.0,6000,0.0,9646.0,0.0,5245,4401.0,0.0
29/04/2024,4-60111757-P02,PARAFUSO FLANGEADO M14*50,0.0,6000,0.0,7980.0,0.0,5296,2684.0,0.0
29/04/2024,4-60111760-P02,PARAFUSO FLANGEADO M14*60,0.0,5400,0.0,7658.0,0.0,6960,698.0,0.0
06/05/2024,4-60111755-P02,PARAFUSO FLANGEADO M14*40,0.0,6000,0.0,4401.0,12000.0,7235,9166.0,0.0
06/05/2024,4-60111757-P02,PARAFUSO FLANGEADO M14*50,0.0,6000,0.0,2684.0,18000.0,6107,14577.0,0.0
06/05/2024,4-60111760-P02,PARAFUSO FLANGEADO M14*60,0.0,5400,0.0,698.0,16200.0,7987,8911.0,0.0
13/05/2024,4-60111755-P02,PARAFUSO FLANGEADO M14*40,0.0,6000,0.0,9166.0,0.0,6874,2292.0,0.0
13/05/2024,4-60111757-P02,PARAFUSO FLANGEADO M14*50,0.0,6000,0.0,14577.0,-0.0,9878,4699.0,0.0
13/05/2024,4-60111760-P02,PARAFUSO FLANGEADO M14*60,0.0,5400,0.0,8911.0,-0.0,7698,1213.0,0.0
