Data,ID Produto,Descrição,Número de Lotes a Comprar,Tamanho do Lote,Total de Produtos a Comprar,Estoque Anterior,Produtos que Chegaram,Previsão de Demanda,Estoque após Atender,Custo de Compra
01/01/2024,4-1580214-P05,RUBBER STOP - TORQUE 60Nm,-0.0,20,-0.0,13000.0,0.0,0,13000.0,0.0
01/01/2024,4-1590069-P03,SLEEVE 16*35*25,-0.0,45,-0.0,16750.0,-0.0,0,16750.0,0.0
01/01/2024,4-1628449-P07,HOLLOW RUBBER SPRING,0.0,360,0.0,7750.0,-0.0,0,7750.0,0.0
01/01/2024,4-20742992-P03,PARAFUSO M14X48,0.0,100,0.0,22750.0,-0.0,0,22750.0,0.0
01/01/2024,4-20785497-P02,SLEEVE 14.5*28*20,-0.0,100,-0.0,20750.0,-0.0,0,20750.0,0.0
01/01/2024,4-21213202-P04,ANCHORAGE MUDGUARD WITH NUTS,0.0,300,0.0,21750.0,-0.0,0,21750.0,0.0
01/01/2024,4-21377296-P04,BRACKET BELL WASHER M14,0.0,1000,0.0,8500.0,0.0,0,8500.0,0.0
01/01/2024,4-21407963-02,REBITE Ø15.5X36,0.0,80,0.0,19500.0,9760.0,29191,69.0,0.0
01/01/2024,4-21407966-02,REBITE Ø15.5X42,-0.0,260,-0.0,7750.0,-0.0,0,7750.0,0.0
01/01/2024,4-21956064-P05,BRACKET SHOCK ABSORBER,-0.0,105,-0.0,4000.0,-0.0,0,4000.0,0.0
01/01/2024,4-22276866-P01,"SPACER SLEEVE,80MM",-0.0,48,-0.0,5500.0,-0.0,0,5500.0,0.0
01/01/2024,4-23159438-P03,NUT RETAINER,-0.0,300,-0.0,14000.0,-0.0,0,14000.0,0.0
01/01/2024,4-23375339-P02,PLATE HOLLOW RUBBER SPRING,0.0,100,0.0,10500.0,-0.0,0,10500.0,0.0
01/01/2024,4-60110469-P01,"ARRUELA PR.21*36*1,6",0.0,500,0.0,16500.0,0.0,0,16500.0,0.0
01/01/2024,4-60111753-P02,PARAFUSO FLANGEADO M14X30MM,0.0,60,0.0,18250.0,0.0,0,18250.0,0.0
01/01/2024,4-60111755-P02,PARAFUSO FLANGEADO M14*40,0.0,6000,0.0,18750.0,-0.0,0,18750.0,0.0
01/01/2024,4-60111757-P02,PARAFUSO FLANGEADO M14*50,0.0,6000,0.0,20250.0,0.0,0,20250.0,0.0
01/01/2024,4-60111760-P02,PARAFUSO FLANGEADO M14*60,-0.0,5400,-0.0,11500.0,-0.0,0,11500.0,0.0
01/01/2024,4-60111762-P02,PARAFUSO FLANGEADO M14*70,0.0,4800,0.0,9500.0,0.0,0,9500.0,0.0
01/01/2024,4-60111764-P02,PARAFUSO FLANGEADO M14*80,-0.0,40,-0.0,11250.0,-0.0,0,11250.0,0.0
01/01/2024,4-60111765-P02,PARAFUSO FLANGEADO M14*90,0.0,25,0.0,23750.0,-0.0,0,23750.0,0.0
01/01/2024,4-60111766-P02,PARAFUSO FLANGEADO M14X100MM,-0.0,35,-0.0,22500.0,-0.0,0,22500.0,0.0
01/01/2024,4-60111767-P02,PARAFUSO FLANGEADO M14X110MM,-0.0,30,-0.0,20750.0,-0.0,0,20750.0,0.0
01/01/2024,4-60111995-P03,"WASHER, 15*32*4",0.0,100,0.0,4500.0,0.0,0,4500.0,0.0
01/01/2024,4-965576-P02,SUPORTE 2*9*80*3,-0.0,70,-0.0,14500.0,-0.0,0,14500.0,0.0
01/01/2024,4-980013-P07,REBITE 15X36,-0.0,85,-0.0,19250.0,-0.0,0,19250.0,0.0
01/01/2024,4-980014-P07,REBITE 15X38,-0.0,80,-0.0,5000.0,-0.0,0,5000.0,0.0
01/01/2024,4-980015-P07,REBITE Ø15X40,0.0,75,0.0,7500.0,-0.0,0,7500.0,0.0
01/01/2024,4-980016-P07,REBITE 15X42,0.0,2100,0.0,19500.0,0.0,0,19500.0,0.0
01/01/2024,4-980017-P07,REBITE 15X45,-0.0,65,-0.0,16750.0,-0.0,0,16750.0,0.0
01/01/2024,4-980019-P07,REBITE 15X50,-0.0,65,-0.0,6000.0,-0.0,0,6000.0,0.0
01/01/2024,4-980021-P07,REBITE 15X55,-0.0,55,-0.0,17500.0,-0.0,0,17500.0,0.0
01/01/2024,4-980023-P07,REBITE 15X60,0.0,50,0.0,5500.0,-0.0,0,5500.0,0.0
01/01/2024,4-980025-P07,REBITE 15X65,0.0,50,0.0,23250.0,-0.0,0,23250.0,0.0
01/01/2024,4-984192-P03,PARAF.SEXT. M18X60 (10.9),-0.0,35,-0.0,8000.0,-0.0,0,8000.0,0.0
01/01/2024,4-984381-P02,PORCA SEXT. M18 (10.0),0.0,100,0.0,8000.0,0.0,0,8000.0,0.0
01/01/2024,4-984815-P03,PARAF FLANG M12X30 (10.9),0.0,100,0.0,16500.0,0.0,0,16500.0,0.0
01/01/2024,4-984817-P03,PARAF FLANG M12X60 (10.9),0.0,50,0.0,14250.0,-0.0,0,14250.0,0.0
01/01/2024,4-984819-01,PARAF FLANG M12X90 (10.9),-0.0,35,-0.0,18000.0,-0.0,0,18000.0,0.0
01/01/2024,4-984836-P03,PARAF FLANG M16X70 (10.9),0.0,100,0.0,10000.0,0.0,0,10000.0,0.0
01/01/2024,4-984837-P03,PARAF FLANG M16X80 (10.9),0.0,100,0.0,21750.0,0.0,0,21750.0,0.0
01/01/2024,4-984851-P03,PARAF FLANG M14X30 (10.9),0.0,150,0.0,16000.0,0.0,0,16000.0,0.0
01/01/2024,4-984853-P03,PARAF FLANG M14X40 (10.9),-0.0,100,-0.0,17750.0,-0.0,0,17750.0,0.0
01/01/2024,4-984854-P03,FLANGE SCREW M14X45 (10.9),0.0,60,0.0,12000.0,-0.0,0,12000.0,0.0
01/01/2024,4-984855-P03,PARAF FLANG M14X50 (10.9),0.0,100,0.0,14500.0,0.0,0,14500.0,0.0
01/01/2024,4-984856-P03,PARAF FLANG M14X55 (10.9),0.0,100,0.0,19000.0,0.0,0,19000.0,0.0
01/01/2024,4-984857-P03,PARAF FLANG M14X60 (10.9),0.0,100,0.0,3500.0,0.0,0,3500.0,0.0
01/01/2024,4-984858-P03,PARAF.FLANG M14X65 (10.9),0.0,40,0.0,20500.0,0.0,0,20500.0,0.0
01/01/2024,4-984859-P03,PARAF FLANG M14X70 (10.9),-0.0,40,-0.0,19250.0,-0.0,0,19250.0,0.0
01/01/2024,4-984861-P03,PARAF FLANG M14X80 (10.9),-0.0,90,-0.0,10750.0,-0.0,0,10750.0,0.0
01/01/2024,4-984862-P03,PARAF FLANG M14X90 (10.9),0.0,100,0.0,16500.0,0.0,0,16500.0,0.0
01/01/2024,4-984863-P03,PARAF FLANG M14X100(10.9),0.0,100,0.0,10750.0,0.0,0,10750.0,0.0
01/01/2024,4-984865-P03,PARAF FLANG M14X120 (10.9),0.0,25,0.0,24000.0,-0.0,0,24000.0,0.0
01/01/2024,4-984868-P03,PARAF.FLANG.M16X100(10.9),0.0,18,0.0,19000.0,0.0,0,19000.0,0.0
01/01/2024,4-990953-P02,PORCA TRAVA FLANGE M14X14 BAIXA (10),0.0,100,0.0,15750.0,0.0,0,15750.0,0.0
01/01/2024,4-990962-P02,PORCA TRV FLG. M16 (10.9),0.0,100,0.0,15000.0,0.0,0,15000.0,0.0
01/01/2024,4-992328-P03,PORCA FLANGE M14x22 ALTA (10),0.0,100,0.0,14000.0,0.0,0,14000.0,0.0
